+X trace from x=430. hit x-position (wall face). >1100 ~ reached far side (open corridor at that height).
  z:        66    86   106   126   156
  y= -160:  1024  1024  1024  1024  1024
  y= -140:  1024  1024  1024  1024  1024
  y= -120:  1024  1024  1024  1024  1024
  y= -100:  1024  1024  1024  1024  1024
  y=  -80:  1024  1024  1024  1024  1024
  y=  -60:   816   816   816   816   816
  y=  -40:   816   816   816   816   816
  y=  -20:   816   816   816   816   816
  y=    0:  1024  1024  1024  1024  1024
  y=   20:  1024  1024  1024  1024  1024
  y=   40:  1024  1024  1024  1024  1024
  y=   60:  1024  1024  1024  1024  1024
  y=   80:  1024  1024  1024  1024  1024
  y=  100:  1024  1024  1024  1024  1024
  y=  120:  1024  1024  1024  1024  1024
  y=  140:  1024  1024  1024  1024  1024
  y=  160:   512   512   512   512   512
  y=  180:   512   512   512   512   512
  y=  200:   512   512   512   512   512
  y=  220:   512   512   512   512   512
  y=  240:   568   568   568   568   568
  y=  260:   568   568   568   568   568
  y=  280:   568   568   568   568   568
  y=  300:   568   568   568   568   568
